product_name;product_type
MISSION кук. Лисички со сметаной 150г;Кукурузные начос
MISSION кук. Сыр чеддер 150г;Кукурузные начос
MISSION кук. Томат 150г;Кукурузные начос
MISSION кук.Сметана и лук 90г;Кукурузные начос
Mister Potato Барбекю 160г;Прессованные в тубе
Mister Potato Барбекю 40г;Прессованные в тубе
Mister Potato Оригинальные 160г;Прессованные в тубе
Mister Potato Оригинальные 40г;Прессованные в тубе
Mister Potato Острый прянный вкус 160г;Прессованные в тубе
Mister Potato Острый прянный вкус 40г;Прессованные в тубе
Mister Potato Сметана и лук 160г;Прессованные в тубе
Mister Potato Сметана и лук 40г;Прессованные в тубе
NATURALS Белые грибы 100г;ЧСК обычные
NATURALS Морская соль и перец 100г;ЧСК обычные
NATURALS Паприка 100г;ЧСК обычные
NATURALS Пармезан 100г;ЧСК обычные
NATURALS Пето 100г;ЧСК обычные
NATURALS Розмарин 100г;ЧСК обычные
NATURALS Соль 100г;ЧСК обычные
NATURALS Чеснок и зелень 100г;ЧСК обычные
PATTES Йогурт и травы 100г;ЧСК обычные
PATTES Кетчуп 100г;ЧСК обычные
PATTES Оригинальные 100г;ЧСК обычные
PATTES Уксус и лайм 100г;ЧСК обычные
PATTES Чили 100г;ЧСК обычные
Pomsticks Морская соль и перец 100г;ЧСК соломка
Pomsticks Паприка 100г;ЧСК соломка
Pomsticks Сметана и зелень 100г;ЧСК соломка
Pomsticks Соль 100г;ЧСК соломка
Pomsticks Сыр и лук 100г;ЧСК соломка
PRINGLES Оригинальные 165г;Прессованные в тубе
PRINGLES Паприка 165г;Прессованные в тубе
PRINGLES Паприка 185г;Прессованные в тубе
PRINGLES Сметана и лук 165г;Прессованные в тубе
PRINGLES Соль и уксус 165г;Прессованные в тубе
PRINGLES Сыр и лук 165г;Прессованные в тубе
San Carlo Классика 180 г;ЧСК обычные
San Carlo Лайм и розовый перец 150 г;ЧСК обычные
San Carlo Лайм и розовый перец 50 г;ЧСК обычные
San Carlo Мята и перец 150 г;ЧСК обычные
Бульба Боровик 75г;ЧСК рифленые
Бульба Деревеские копченности 75г;ЧСК рифленые
Бульба Оригинальные 75г;ЧСК рифленые
Бульба Сметана и лук 75г;ЧСК рифленые
Бульба Сметана и сыр 75г;ЧСК рифленые
Краш Лаваш Паприка 80г;Пшеничные
Краш Лаваш Сметана и лук 80г;Пшеничные
Краш Лаваш Сметана и укроп 80г;Пшеничные
Лейз из печи Лисички в сметане 85г;Приссованные рифленые
Лейз из печи Нежный сыр и зелень 85г;Приссованные рифленые
Лейз из печи Сметана и зелень 85г;Приссованные рифленые
Лейз из печи Томат и базилик 81г;Приссованные рифленые
Лейз из печи Хамон 81г;Приссованные рифленые
Московский картофель Йодированныя соль 120г;ЧСК обычные
Московский картофель риф Сыр пармезан 120г;ЧСК рифленые
Московский картофель риф. Антлантический лосось в слив. соусе 120г;ЧСК рифленые
Московский картофель риф. Белые гибы в слив. соусе 120г;ЧСК рифленые
Московский картофель риф. Маринованные огурцы 120г;ЧСК рифленые
Московский картофель риф. Паприка 120г;ЧСК рифленые
Московский картофель риф. Томатный кетчуп 120г;ЧСК рифленые
Московский картофель Сметана и лук 120г;ЧСК обычные
Московский картофель Соус сладкий чили 120г;ЧСК обычные
О'кей Краб 140г;ЧСК обычные
О'кей Мясо на углях 140г;ЧСК обычные
О'кей Паприка 140г;ЧСК обычные
О'кей пласт. Барбекю 100г;Прессованные пластинки
О'кей пласт. Грибы со сметаной 100г;Прессованные пластинки
О'кей пласт. Сметана и лук 100г;Прессованные пластинки
О'кей пласт. Сыр и сметана 100г;Прессованные пластинки
О'кей пласт. Томат с зеленью 100г;Прессованные пластинки
О'кей пласт. Холодец с хреном 100г;Прессованные пластинки
О'кей пласт. Чили 100г;Прессованные пластинки
О'кей Сметана и лук 140г;ЧСК обычные
О'кей Соль 140г;ЧСК обычные
О'кей Сыр 140г;ЧСК обычные
Пакет картошки Нори 100г;ЧСК обычные
Пакет картошки Соль 100г;ЧСК обычные
Пакет картошки Томат 100г;ЧСК обычные
Пакет картошки Уксус 100г;ЧСК обычные
Русская картошка Жареная курица 190г;Прессованные фигурные
Русская картошка Камчатскиий краб 190г;Прессованные фигурные
Русская картошка Креветки 75г;Прессованные фигурные
Русская картошка Креветки теемпура с васаби 105г;Прессованные фигурные
Русская картошка Куриные крылышки 105г;Прессованные фигурные
Русская Картошка Сладкий чили 105г;Прессованные фигурные
Русская картошка Сливочный сыр 75г;Прессованные фигурные
Русская картошка Сметана и лук 190г;Прессованные фигурные
Русская картошка Сыр начо 105г;Прессованные фигурные
Русская картошка Фермерская сметана и укроп 75г;Прессованные фигурные
СЫРBALL кук. Кетчуп 140г;Кукурузные фигурные
СЫРBALL кук. Краб 140г;Кукурузные фигурные
Хрустящий картофель Сыр 70г;ЧСК обычные
BIG BON SN.B.Чип.кар.вк.Сыр с хр.бек.70г;ЧСК в пачке-чаше
BIG BON SN.B.Чипсы карт.вк.Коп.папр.70г;ЧСК в пачке-чаше
S.CAR.Чипсы картоф.лайм/роз.пер.150г;ЧСК обычные
S.CAR.Чипсы картоф.паприка 150г;ЧСК обычные
S.CAR.Чипсы картоф.томат 150г;ЧСК обычные
S.CAR.Чипсы КЛАССИКА картоф.180г;ЧСК обычные
SAVOUR.Чип.карт.сыр.чеддр/лук-шалот 150г;ЧСК обычные
BON GIOR.Чипсы карт.вк.Кр.Бел.Вин.80г;ЧСК обычные
BON GIOR.Чипсы карт.вк.Лис.По-Мил.80г;ЧСК обычные
BON GIOR.Чипсы карт.вк.Хам.Де Тер.80г;ЧСК обычные
Картоф.хруст.в ломт.с солью160г;ЧСК обычные
ХРУСТ.КАРТ.Чипсы карт.нат.вк.смет/лук70г;ЧСК обычные
ХРУСТЯЩИЙ КАРТОФЕЛЬ Чипсы с солью 70г;ЧСК обычные
ГАН/ЛЕБ.Чипсы картофельные с солью 100г;ЧСК обычные
ГАН/ЛЕБ.Чипсы картофельные с томат.100г;ЧСК обычные
LORENZ Чипсы NAT.карт.вк.соуса пес.100г;ЧСК обычные
LORENZ Чипсы NATURALS карт.с розмар.100г;ЧСК обычные
LAYS Чипсы вкус.смет/лука натур.карт.70г;ЧСК обычные
ПАК.КАРТ.Чипсы карт.со вкус.Коп.лос.100г;ЧСК обычные
LAVA LAVA Картофель хр.вкус.смет/зел.50г;ЧСК обычные
LAVA LAVA Картофель хруст.вкус.кетч.50г;ЧСК обычные
LAVA LAVA Картофель хруст.вкус.краба 50г;ЧСК обычные
LAVA LAVA Картофель хруст.вкус.пельм.50г;ЧСК обычные
LAVA LAVA Картофель хруст.вкус.сыра 50г;ЧСК обычные
ЭУ,ПАЦАН Карт.со вкус.гов.лук.хруст.50г;ЧСК обычные
ЭУ,ПАЦАН Картоф.со вкус.краба хруст.50г;ЧСК обычные
ЭУ,ПАЦАН Картоф.со вкус.см.с лук.хр.50г;ЧСК обычные
ЭУ,ПАЦАН Картоф.со вкусом сыра хруст.50г;ЧСК обычные
LORENZ Чипсы NATUR.карт.вк.чес/зел.100г;ЧСК обычные
LORENZ Чипсы NATUR.карт.мор.сол/перц100г;ЧСК обычные
LORENZ Чипсы NATUR.карт.с паприк.100г;ЧСК обычные
LORENZ Чипсы NATUR.КЛАС.карт.с солью100г;ЧСК обычные
LORENZ Чипсы NATURALS карт.бел.гриб.100г;ЧСК обычные
LAYS Чипсы из нат.картофеля с солью 70г;ЧСК обычные
LAYS Чипсы нат.карт.со вкусом бекона 70г;ЧСК обычные
POMST.Чипсы карт.соломкой с солью 200г;ЧСК соломка
LORENZ Чипсы NATURALS карт.с парм.100г;ЧСК обычные
BIG BON Чипсы сыр.карт.вк.смет/лука 75г;ЧСК обычные
TWISTER Карт.вк.бел.гриб.в сл/с хр.150г;ЧСК обычные
TWISTER Карт.хруст.с солью 70г;ЧСК обычные
TWISTER Картоф.хруст.со вк.смет/лук.150г;ЧСК обычные
TWISTER Картофель вк.колб.гр.горч.хр150г;ЧСК обычные
TWISTER Картофель вкус.паприки хр.150г;ЧСК обычные
TWISTER Картофель хруст.вк.зел.лука 150г;ЧСК обычные
TWISTER Картофель хруст.со вк.краба 150г;ЧСК обычные
TWISTER Картофель хруст.со вкус.сыра 70г;ЧСК обычные
МОСК.КАРТ.Карт.вк.ант.лос.в сл.с.хр.120г;ЧСК рифленые
МОСК.КАРТ.Карт.вк.атл.лос.сл.соусе 150г;ЧСК рифленые
МОСК.КАРТ.Картофель хр.вк.смет/зел.150г;ЧСК рифленые
МОСК.КАРТ.Картофель хр.вк.сыра Парм.150г;ЧСК рифленые
Чипсы POMST.карт.солом. с паприкой 100г;ЧСК соломка
CHEETOS Кукур.палочки КЕТЧУП 85г;Кукурузная соломка
LAYS Чипсы вкус.мол.зел.лука нат.кар.70г;ЧСК обычные
LAYS Чипсы вкус.смет/зелени нат.карт.70г;ЧСК обычные
LAY'S Чипсы из нат.карт.вк.Диж.горч.125г;ЧСК обычные
LAYS Чипсы из нат.карт.вк.сметаны/зел90г;ЧСК обычные
LAYS Чипсы из нат.карт.вкус.смет/зел.95г;ЧСК обычные
LAYS Чипсы из нат.картофеля с солью 140г;ЧСК обычные
LAYS Чипсы карт.вкус.ребрышки гриль 140г;ЧСК обычные
LAYS Чипсы карт.со вк.молод.зел.лука 90г;ЧСК обычные
LAYS Чипсы нат.кар.вк.Гуакам.по-мек.125г;ЧСК обычные
LAYS Чипсы нат.карт.вк.мол.зел.лука 140г;ЧСК обычные
LAYS Чипсы нат.карт.вк.Неж.Сыр С Тр.120г;ЧСК обычные
LAYS Чипсы нат.карт.вк.Сыр.асс.с мед.90г;ЧСК обычные
LAYS Чипсы нат.карт.вк.Мал.огур.укр.140г;ЧСК обычные
LAYS Чипсы нат.карт.вкус.смет/зел.140г;ЧСК обычные
LAYS Чипсы нат.карт.вкус.смет/лука 140г;ЧСК обычные
LAYS Чипсы нат.карт.со вкусом краба 140г;ЧСК обычные
LAYS Чипсы нат.карт.со вкусом сыра 140г;ЧСК обычные
LAYS Чипсы нат.карт.со вкусом сыра 70г;ЧСК обычные
LAY'S Чипсы натур.картоф.вкус.краба 225г;ЧСК обычные
LAYS Чипсы С СОЛЬЮ 225г;ЧСК обычные
LAYS Чипсы СМЕТАНА И ЗЕЛЕНЬ 225г;ЧСК обычные
LAYS Чипсы СМЕТАНА И ЛУК 225г;ЧСК обычные
LAYS Чипсы со вкусом краба нат.карт.70г;ЧСК обычные
BRUTO Чипсы G.L.из нат.карт.вк.ол/ор.80г;ЧСК обычные
BRUTO Чипсы G.L.нат.кар.вк/ар.к.соли 80г;ЧСК обычные
BRUTO Чипсы из нат.карт.вк.см/лука 120г;ЧСК обычные
BRUTO Чипсы из нат.карт.вк.смет/зел.120г;ЧСК обычные
BRUTO Чипсы из нат.карт.вкус.папр.120г;ЧСК обычные
BRUTO Чипсы из нат.карт.со вк.краба 120г;ЧСК обычные
BRUTO Чипсы из карт.мор.сол/чер.пер.130г;ЧСК обычные
BRUTO Чипсы из нат.карт.вк.Чесн/тр.120г;ЧСК обычные
EASY PEASY Картофель риф.вк.бр.майон.50г;ЧСК рифленые
LAYS Чипсы нат.карт.риф.вк.лобстера 70г;ЧСК рифленые
LAYS Чипсы риф.вкус.Паприка нат.карт.70г;ЧСК рифленые
BRUTO Чипсы из нат.карт.с мор.солью 120г;ЧСК обычные
BRUTO Чипсы из нат.карт.с томат/укр.120г;ЧСК обычные
BRUTO Чипсы нат.карт.мор.с/чер.пер.120г;ЧСК обычные
BON GIOR.Чип.кар.риф.вкус.Кар.Лук Сыр80г;ЧСК рифленые
BON GIOR.Чипсы карт.риф.вкус.Ср.Лоб.80г;ЧСК рифленые
LIT ENERGY Чипсы нат.кар.вк.см/зел.120г;ЧСК рифленые
LIT ENERGY Чипсы нат.карт.вкус.папр.120г;ЧСК рифленые
LIT ENERGY Чипсы с.карт.р.вк.Сах.кр.120г;ЧСК рифленые
CRUN.Чипсы X-CUT кар.риф.вк.афр.Чак.70г;ЧСК рифленые
CRUN.Чипсы X-CUT кар.риф.вк.паприки 70г;ЧСК рифленые
CRUN.Чипсы X-CUT кар.риф.вк.смет/спец70г;ЧСК рифленые
CRUN.Чипсы X-CUT кар.риф.вк.сыра/лука70г;ЧСК рифленые
EASY PEASY Картофель риф.вкус.шпрот 50г;ЧСК рифленые
LAYS Чипсы карт.риф.вкус.лобстера 140г;ЧСК рифленые
LAYS Чипсы карт.риф.вкус.лос.слив.с.140г;ЧСК рифленые
LAYS Чипсы карт.риф.вкус.паприка 140г;ЧСК рифленые
LAYS Чипсы нат.кар.риф.вк.Т.ям по-т.125г;ЧСК рифленые
LAYS Чипсы нат.карт.риф.вк.Паприка 225г;ЧСК рифленые
LAYS Чипсы нат.карт.риф.вк.Прян.крев.90г;ЧСК рифленые
POMST.Чипсы карт.сол.вкус.смет/спец.200г;ЧСК соломка
POMST.Чипсы карт.сол.с мор.сол/перц.100г;ЧСК соломка
Чипсы POMST.карт.солом. с солью 100г;ЧСК соломка
Чипсы POMST.карт.солом.смет/спец 100г;ЧСК соломка
TWISTER Чипсы КАРТ.СОЛ.карт.вк.сыра 50г;ЧСК соломка
CHEETOS Палочки кук.вкус.Кетчуп 50г;Кукурузная соломка
SALTO Чипсы N.БАР.кук.220г+соус100г+салф;Кукурузные в пачке-чаше
SALTO Чипсы N.КЛ.кук.220г+соус100г+салф.;Кукурузные в пачке-чаше
MISSION Чипсы кукур.вкус.смет/лука 90г;Кукурузные начос
MISSION Чипсы кукур.со вкус.краб кам.90г;Кукурузные начос
MISSION Чипсы кукурузн.со вк.бекона 150г;Кукурузные начос
MISSION Чипсы кукурузные со вк.сыра 150г;Кукурузные начос
DELICAD.Чипсы NACH.с кус.ол/пап.кук.150г;Кукурузные начос
DELICAD.Чипсы кукур.вкус.соуса Ранч 150г;Кукурузные начос
DELICAD.Чипсы НАЧОС кук.вк.Бург.Воп.140г;Кукурузные начос
DELICAD.Чипсы НАЧОС кукур.ориг.150г;Кукурузные начос
DELICAD.Чипсы НАЧОС кукур.с/вк.сыр 150г;Кукурузные начос
CARAMBAS Чипсы БЕКОН кукур.150г;Кукурузные начос
CARAMBAS Чипсы ОРИГИНАЛ кукур.150г;Кукурузные начос
CARAMBAS Чипсы СМЕТАНА ЛУК кукур.150г;Кукурузные начос
CARAMBAS Чипсы СЫР НАЧ.кукур.150г;Кукурузные начос
XIAOWANGZI Чипсы кукурузн.со вк.том.40г;Кукурузные фигурные
CHEETOS Кукур.палочки СЫР 85г;Кукурузные фигурные
XIAOWANGZI Чипсы ОРИГИНАЛЬН.кукуруз.40г;Кукурузные фигурные
CHEETOS Палочки кук.вкус.Сыр 50г;Кукурузные фигурные
CHEETOS Снеки кук.вкус.Ветчина и сыр 50г;Кукурузные фигурные
CHEETOS Снеки кукур.со вкусом Краб 50г;Кукурузные фигурные
HOLYCORN Снеки кукуруз.со вкус.Томат 50г;Кукурузные фигурные
HOLYCORN Снеки кукуруз.со вкусом Сыр 50г;Кукурузные фигурные
CHEETOS Снеки кукуруз.со вкусом Краб 85г;Кукурузные фигурные
СЫРBALL Шарики кукуруз.со вк.сыра 140г;Кукурузные фигурные
СЫРКОЛБ.Снеки кук.вкус.Гриль-колб.100г;Кукурузные фигурные
СЫРКОЛБ.Снеки кук.вкус.Двойной сыр 100г;Кукурузные фигурные
СЫРКОЛБАС Снеки кук.вк.сыр/колбаса 100г;Кукурузные фигурные
MEGA CH.Мегачипсы карт.вк.норв.лобс.100г;Прессованные пластинки
MEGA CHIPS Чипсы СО ВК.КУРИЦЫ 100г;Прессованные пластинки
MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/ЛУКА 100г;Прессованные пластинки
MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/СЫРА 100г;Прессованные пластинки
MULTICHIPS Чипсы карт.вкус.см/лука 100г;Прессованные пластинки
BIG BON Чип.карт.вк.Реб.гр.соус.Бар.105г;Прессованные в пачке-чаше
BIG BON Чипсы карт.вк.См.зел.с.Чес.105г;Прессованные в пачке-чаше
PRING.Чипсы ORIGINAL картофельные 165г;Прессованные в тубе
PRING.Чипсы СМЕТАНА И ЛУК картоф.165г;Прессованные в тубе
PRINGL.Чипсы ORIGINAL картофельн.165г;Прессованные в тубе
PRINGL.Чипсы карт.со вкус.смет/лука 165г;Прессованные в тубе
PRINGL.Чипсы ПАПРИКА карт.165г;Прессованные в тубе
BIG BON Чипсы карт.вк.Смет/зел.лук 130г;Прессованные в тубе
BIG BON Чипсы карт.вкус.Снеж.краб 130г;Прессованные в тубе
LAYS Чипсы STAX карт.вк.Ар.реб.барб.140г;Прессованные в тубе
LAYS Чипсы STAX карт.вк.Неж.см/лук 140г;Прессованные в тубе
LAYS Чипсы STAX карт.вкус.Пик.пап.140г;Прессованные в тубе
XIAOWANGZI Чипсы карт.вк.Итал.рагу 43г;Прессованные фигурные
XIAOWANGZI Чипсы карт.вкус.Барбекю 43г;Прессованные фигурные
XIAOWANGZI Чипсы карт.со вкус.Томата 43г;Прессованные фигурные
XIAOWANGZI Чипсы ОРИГИНАЛЬНЫЕ картоф.43г;Прессованные фигурные
ДЕЛИКАТ Чипсы КРАБ карт.вкус.краба 100г;Прессованные фигурные
ДЕЛИКАТ Чипсы ЛУК.КОЛ.СМЕТ/ЗЕЛ.карт.100г;Прессованные фигурные
TURBO DIES.Чипсы карт.вк.кур.крыл.гр.75г;Прессованные фигурные
LAYS Чипсы картофельные вкус.Хамон 81г;Прессованные рифленые
DR.KORNER Чипсы кукурузно-рис.с сыр.50г;Кукурузно-рисовые
DON SHELLD.Чипсы НУТСЫ вкус.Сыр Чедд.50г;Нутовые
REEEL Чипсы БАТАТ-СЫР ЧЕДДЕР натур.30г;Овощные
РУС.КАРТ.Чипсы карт.со вкус.креветки 50г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.со вкусом кревет.80г;Прессованные фигурные
"Чипсы ""Рус.карт."" курица 28/20г";Прессованные фигурные
ЛУК.КОЛ.ЗОЛ.Снеки хруст.вк.смет/лука100г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вк.зел.лука/см.190г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вк.Острый соус 200г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вк.сметаны/лука 80г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вкус.камч.краба 200г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вкус.кур.гриль 200г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вкус.лука/смет.200г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.вкус.Остр.соус 190г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.со вкус.смет/укр.80г;Прессованные фигурные
РУС.КАРТ.Чипсы карт.со вкусом краба 190г;Прессованные фигурные
РУС.КАРТ.Чипсы картоф.вкус.жар.кур.190г;Прессованные фигурные
LAYS Чипс.карт.вк.лис.в см.85г;Прессованные рифленые
LAYS Чипсы карт.со вкус.неж.сыр зел.85г;Прессованные рифленые
ЗЕЛ.ЛИН.Флайчипсы зер.кук-рис.с сол.40г;Кукурузно-рисовые
ЗЕЛ.ЛИН.Флайчипсы зерн.с том/олив.40г;Кукурузно-рисовые
RICE UP! Чипсы ц/зерн.вк.вас.бур.рис.60г;Кукурузно-рисовые
RICE UP! Чипсы ц/зерн.вк.кет.бур.рис.60г;Кукурузно-рисовые
DR.KORNER Чип.кук-рис.тайс.ос.сл.пер.50г;Кукурузно-рисовые
DR.KORNER Чипсы кук/рис.олив.мас/роз.50г;Кукурузно-рисовые
DR.KORNER Чипсы кук-рис.смет/зел.лук.50г;Кукурузно-рисовые
DR.KORNER Чипсы ц/з кук-рис.сыр.начо 50г;Кукурузно-рисовые
DON SHELLD.Чипсы НУТСЫ вкус.Смет/зел.50г;Нутовые
Чипсы ОРИГИНАЛЬНЫЕ с бататом 90г;Овощные
Чипсы с батат.вкус.говяд/чер.перца 90г;Овощные
Чипсы с бататом со вкусом зел.лука 90г;Овощные
Чипсы с бататом со вкусом томата 90г;Овощные
BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г;Пшеничные
BINGGRAE Чипсы КРАБ ЧИПСЫ вк.краба 130г;Пшеничные
BINGGRAE Чипсы КРАБ ЧИПСЫ хруст.50г;Пшеничные
BINGGRAE Чипсы ВАСАБИ хрус.вк.вас.40г;Пшеничные
BINGGRAE Чипсы МОР.КАП.ЧИП.вк.мор.кап40г;Пшеничные
5D Чипсы пшен.вкус.стейк на углях 200г;Пшеничные
5D Чипсы пшен.со вкус.сметана и лук 200г;Пшеничные
FR.RIDE Чипсы пш.вк.ростбифа с хрен.50г;Пшеничные
FR.RIDE Чипсы пш.со вк.бекона 50г;Пшеничные
