product_name;flavor
Lays риф. Паприка 81г;Паприка
Lays риф. Пряная креветка 90г;Креветки
Lays риф. Том Ям по тайски 125г;Том Ям
Lays Сметана и зелень 140г;Сметана и зелень
Lays Сметана и зелень 225г;Сметана и зелень
Lays Сметана и зелень 37г;Сметана и зелень
Lays Сметана и зелень 70г;Сметана и зелень
Lays Сметана и лук 140г;Сметана и лук
Lays Сметана и лук 225г;Сметана и лук
Lays Сметана и лук 70г;Сметана и лук
Lays Соль 225г;Соль
Lays Сыр 140г;Сыр
Lays Сыр 70г;Сыр
Lays Сырное ассорти с медом 90г;Сыр и мед
Lays Шашлык 140г;Шашлык
Lays Шашлык 70г;Шашлык
MEGA CHIPS Бекон 100г;Бекон
MEGA CHIPS Грибы со сметаной 100г;Сметана и грибы
MEGA CHIPS Норвежский лобстер 100г;Лобстер
MEGA CHIPS Сметана и лук 100г;Сметана и лук
MEGA CHIPS Сметана и сыр 100г;Сметана и сыр
MISSION кук. Камчатский краб 90г;Краб
MISSION кук. Лисички со сметаной 150г;Сметана и Грибы Лисички
MISSION кук. Сыр чеддер 150г;Сыр
MISSION кук. Томат 150г;Томат
MISSION кук.Сметана и лук 90г;Сметана и лук
Mister Potato Барбекю 160г;Барбекю
Mister Potato Барбекю 40г;Барбекю
Mister Potato Оригинальные 160г;Оригинальные
Mister Potato Оригинальные 40г;Оригинальные
Mister Potato Острый прянный вкус 160г;Острый пряный
Mister Potato Острый прянный вкус 40г;Острый пряный
Mister Potato Сметана и лук 160г;Сметана и лук
Mister Potato Сметана и лук 40г;Сметана и лук
NATURALS Белые грибы 100г;Грибы Белые
NATURALS Морская соль и перец 100г;Соль и перец черный
NATURALS Паприка 100г;Паприка
NATURALS Пармезан 100г;Сыр
NATURALS Пето 100г;Песто
NATURALS Розмарин 100г;Розмарин
NATURALS Соль 100г;Соль
NATURALS Чеснок и зелень 100г;Чеснок и зелень
PATTES Йогурт и травы 100г;Йогурт и травы
PATTES Кетчуп 100г;Кетчуп
PATTES Оригинальные 100г;Оригинальные
PATTES Уксус и лайм 100г;Уксус и лайм
PATTES Чили 100г;Чили
Pomsticks Морская соль и перец 100г;Соль и перец черный
Pomsticks Паприка 100г;Паприка
Pomsticks Сметана и зелень 100г;Сметана и зелень
Pomsticks Соль 100г;Соль
Pomsticks Сыр и лук 100г;Сыр и лук
PRINGLES Оригинальные 165г;Оригинальные
PRINGLES Паприка 165г;Паприка
PRINGLES Паприка 185г;Паприка
PRINGLES Сметана и лук 165г;Сметана и лук
PRINGLES Соль и уксус 165г;Соль и уксус
PRINGLES Сыр и лук 165г;Сыр и лук
San Carlo Классика 180 г;Оригинальные
San Carlo Лайм и розовый перец 150 г;Лайм и перец розовый
San Carlo Лайм и розовый перец 50 г;Лайм и перец розовый
San Carlo Мята и перец 150 г;Мята и перец
Бульба Боровик 75г;Грибы Боровички
Бульба Деревеские копченности 75г;Копчености
Бульба Оригинальные 75г;Оригинальные
Бульба Сметана и лук 75г;Сметана и лук
Бульба Сметана и сыр 75г;Сметана и сыр
Краш Лаваш Паприка 80г;Паприка
Краш Лаваш Сметана и лук 80г;Сметана и лук
Краш Лаваш Сметана и укроп 80г;Сметана и укроп
Лейз из печи Лисички в сметане 85г;Сметана и Грибы Лисички
Лейз из печи Нежный сыр и зелень 85г;Сыр и зелень
Лейз из печи Сметана и зелень 85г;Сметана и зелень
Лейз из печи Томат и базилик 81г;Томат и базилик
Лейз из печи Хамон 81г;Хамон
Московский картофель Йодированныя соль 120г;Соль
Московский картофель риф Сыр пармезан 120г;Сыр
Московский картофель риф. Антлантический лосось в слив. соусе 120г;Лосось и соус сливочный
Московский картофель риф. Белые гибы в слив. соусе 120г;Грибы Белые и соус сливочный
Московский картофель риф. Маринованные огурцы 120г;Огурцы маринованные
Московский картофель риф. Паприка 120г;Паприка
Московский картофель риф. Томатный кетчуп 120г;Кетчуп
Московский картофель Сметана и лук 120г;Сметана и лук
Московский картофель Соус сладкий чили 120г;Соус чили
О'кей Краб 140г;Краб
О'кей Мясо на углях 140г;Мясо на углях
О'кей Паприка 140г;Паприка
О'кей пласт. Барбекю 100г;Барбекю
О'кей пласт. Грибы со сметаной 100г;Сметана и Грибами
О'кей пласт. Сметана и лук 100г;Сметана и лук
О'кей пласт. Сыр и сметана 100г;Сметана и сыр
О'кей пласт. Томат с зеленью 100г;Томат с зеленью
О'кей пласт. Холодец с хреном 100г;Холодец с хреном
О'кей пласт. Чили 100г;Чили
О'кей Сметана и лук 140г;Сметана и лук
О'кей Соль 140г;Соль
О'кей Сыр 140г;Сыр
Пакет картошки Нори 100г;Нори
Пакет картошки Соль 100г;Соль
Пакет картошки Томат 100г;Томат
Пакет картошки Уксус 100г;Уксус
Русская картошка Жареная курица 190г;Курица
Русская картошка Камчатскиий краб 190г;Краб
Русская картошка Креветки 75г;Креветки
Русская картошка Креветки теемпура с васаби 105г;Креветки и васаби
Русская картошка Куриные крылышки 105г;Курица
Русская Картошка Сладкий чили 105г;Чили
Русская картошка Сливочный сыр 75г;Сыр сливочный
Русская картошка Сметана и лук 190г;Сметана и лук
Русская картошка Сыр начо 105г;Сыр начо
Русская картошка Фермерская сметана и укроп 75г;Сметана и укроп
СЫРBALL кук. Кетчуп 140г;Кетчуп
СЫРBALL кук. Краб 140г;Краб
Хрустящий картофель Сыр 70г;Бекон
Хрустящий картофель Сыр 70г;Сыр
BIG BON SN.B.Чип.кар.вк.Сыр с хр.бек.70г;Сыр и бекон
BIG BON SN.B.Чипсы карт.вк.Коп.папр.70г;Паприка
S.CAR.Чипсы картоф.лайм/роз.пер.150г;Лайм и перец розовый
S.CAR.Чипсы картоф.паприка 150г;Паприка
S.CAR.Чипсы картоф.томат 150г;Томат
S.CAR.Чипсы КЛАССИКА картоф.180г;Оригинальные
SAVOUR.Чип.карт.сыр.чеддр/лук-шалот 150г;Сыр и лук-шалот
BON GIOR.Чипсы карт.вк.Кр.Бел.Вин.80г;Креветки и вино
BON GIOR.Чипсы карт.вк.Лис.По-Мил.80г;Грибы Лисички
BON GIOR.Чипсы карт.вк.Хам.Де Тер.80г;Хамон
Картоф.хруст.в ломт.с солью160г;Соль
ХРУСТ.КАРТ.Чипсы карт.нат.вк.смет/лук70г;Сметана и лук
ХРУСТЯЩИЙ КАРТОФЕЛЬ Чипсы с солью 70г;Соль
ГАН/ЛЕБ.Чипсы картофельные с солью 100г;Соль
ГАН/ЛЕБ.Чипсы картофельные с томат.100г;Томат
LORENZ Чипсы NAT.карт.вк.соуса пес.100г;Песто
LORENZ Чипсы NATURALS карт.с розмар.100г;Розмарин
LAYS Чипсы вкус.смет/лука натур.карт.70г;Сметана и лук
ПАК.КАРТ.Чипсы карт.со вкус.Коп.лос.100г;Лосось
LAVA LAVA Картофель хр.вкус.смет/зел.50г;Сметана и зелень
LAVA LAVA Картофель хруст.вкус.кетч.50г;Кетчуп
LAVA LAVA Картофель хруст.вкус.краба 50г;Краб
LAVA LAVA Картофель хруст.вкус.пельм.50г;Пельмени
LAVA LAVA Картофель хруст.вкус.сыра 50г;Сыр
ЭУ,ПАЦАН Карт.со вкус.гов.лук.хруст.50г;Говядина и лук
ЭУ,ПАЦАН Картоф.со вкус.краба хруст.50г;Краб
ЭУ,ПАЦАН Картоф.со вкус.см.с лук.хр.50г;Сметана и лук
ЭУ,ПАЦАН Картоф.со вкусом сыра хруст.50г;Сыр
LORENZ Чипсы NATUR.карт.вк.чес/зел.100г;Чеснок и зелень
LORENZ Чипсы NATUR.карт.мор.сол/перц100г;Соль и перец черный
LORENZ Чипсы NATUR.карт.с паприк.100г;Паприка
LORENZ Чипсы NATUR.КЛАС.карт.с солью100г;Соль
LORENZ Чипсы NATURALS карт.бел.гриб.100г;Грибы Белые
LAYS Чипсы из нат.картофеля с солью 70г;Соль
LAYS Чипсы нат.карт.со вкусом бекона 70г;Бекон
POMST.Чипсы карт.соломкой с солью 200г;Соль
LORENZ Чипсы NATURALS карт.с парм.100г;Сыр
BIG BON Чипсы сыр.карт.вк.смет/лука 75г;Сметана и лук
TWISTER Карт.вк.бел.гриб.в сл/с хр.150г;Грибы Белые
TWISTER Карт.хруст.с солью 70г;Соль
TWISTER Картоф.хруст.со вк.смет/лук.150г;Сметана и лук
TWISTER Картофель вк.колб.гр.горч.хр150г;Колбаса и горчица
TWISTER Картофель вкус.паприки хр.150г;Паприка
TWISTER Картофель хруст.вк.зел.лука 150г;Лук
TWISTER Картофель хруст.со вк.краба 150г;Краб
TWISTER Картофель хруст.со вкус.сыра 70г;Сыр
МОСК.КАРТ.Карт.вк.ант.лос.в сл.с.хр.120г;Лосось и соус сливочный
МОСК.КАРТ.Карт.вк.атл.лос.сл.соусе 150г;Лосось и соус сливочный
МОСК.КАРТ.Картофель хр.вк.смет/зел.150г;Сметана и зелень
МОСК.КАРТ.Картофель хр.вк.сыра Парм.150г;Сыр
Чипсы POMST.карт.солом. с паприкой 100г;Паприка
CHEETOS Кукур.палочки КЕТЧУП 85г;Кетчуп
LAYS Чипсы вкус.мол.зел.лука нат.кар.70г;Лук
LAYS Чипсы вкус.смет/зелени нат.карт.70г;Сметана и зелень
LAY'S Чипсы из нат.карт.вк.Диж.горч.125г;Горчица
LAYS Чипсы из нат.карт.вк.сметаны/зел90г;Сметана и зелень
LAYS Чипсы из нат.карт.вкус.смет/зел.95г;Сметана и зелень
LAYS Чипсы из нат.картофеля с солью 140г;Соль
LAYS Чипсы карт.вкус.ребрышки гриль 140г;Ребрышки гриль
LAYS Чипсы карт.со вк.молод.зел.лука 90г;Лук
LAYS Чипсы нат.кар.вк.Гуакам.по-мек.125г;Гуакамоле
LAYS Чипсы нат.карт.вк.мол.зел.лука 140г;Лук
LAYS Чипсы нат.карт.вк.Неж.Сыр С Тр.120г;Сыр и трюфель
LAYS Чипсы нат.карт.вк.Сыр.асс.с мед.90г;Сыр и мед
LAYS Чипсы нат.карт.вк.Мал.огур.укр.140г;Огурцы малосольные и укроп
LAYS Чипсы нат.карт.вкус.смет/зел.140г;Сметана и зелень
LAYS Чипсы нат.карт.вкус.смет/лука 140г;Сметана и лук
LAYS Чипсы нат.карт.со вкусом краба 140г;Краб
LAYS Чипсы нат.карт.со вкусом сыра 140г;Сыр
LAYS Чипсы нат.карт.со вкусом сыра 70г;Сыр
LAY'S Чипсы натур.картоф.вкус.краба 225г;Краб
LAYS Чипсы С СОЛЬЮ 225г;Соль
LAYS Чипсы СМЕТАНА И ЗЕЛЕНЬ 225г;Сметана и зелень
LAYS Чипсы СМЕТАНА И ЛУК 225г;Сметана и лук
LAYS Чипсы со вкусом краба нат.карт.70г;Краб
BRUTO Чипсы G.L.из нат.карт.вк.ол/ор.80г;Оливки и орегано
BRUTO Чипсы G.L.нат.кар.вк/ар.к.соли 80г;Соль копченая
BRUTO Чипсы из нат.карт.вк.см/лука 120г;Сметана и лук
BRUTO Чипсы из нат.карт.вк.смет/зел.120г;Сметана и зелень
BRUTO Чипсы из нат.карт.вкус.папр.120г;Паприка
BRUTO Чипсы из нат.карт.со вк.краба 120г;Краб
BRUTO Чипсы из карт.мор.сол/чер.пер.130г;Соль и перец черный
BRUTO Чипсы из нат.карт.вк.Чесн/тр.120г;Чеснок и травы
EASY PEASY Картофель риф.вк.бр.майон.50г;Майонез
LAYS Чипсы нат.карт.риф.вк.лобстера 70г;Лобстер
LAYS Чипсы риф.вкус.Паприка нат.карт.70г;Паприка
BRUTO Чипсы из нат.карт.с мор.солью 120г;Соль
BRUTO Чипсы из нат.карт.с томат/укр.120г;Томат и укроп
BRUTO Чипсы нат.карт.мор.с/чер.пер.120г;Соль и перец черный
BON GIOR.Чип.кар.риф.вкус.Кар.Лук Сыр80г;Сыр и лук
BON GIOR.Чипсы карт.риф.вкус.Ср.Лоб.80г;Лобстер
LIT ENERGY Чипсы нат.кар.вк.см/зел.120г;Сметана и зелень
LIT ENERGY Чипсы нат.карт.вкус.папр.120г;Паприка
LIT ENERGY Чипсы с.карт.р.вк.Сах.кр.120г;Креветки
CRUN.Чипсы X-CUT кар.риф.вк.афр.Чак.70г;Чакалака
CRUN.Чипсы X-CUT кар.риф.вк.паприки 70г;Паприка
CRUN.Чипсы X-CUT кар.риф.вк.смет/спец70г;Сметана и специи
CRUN.Чипсы X-CUT кар.риф.вк.сыра/лука70г;Сыр и лук
EASY PEASY Картофель риф.вкус.шпрот 50г;Шпроты
LAYS Чипсы карт.риф.вкус.лобстера 140г;Лобстер
LAYS Чипсы карт.риф.вкус.лос.слив.с.140г;Лосось и соус сливочный
LAYS Чипсы карт.риф.вкус.паприка 140г;Паприка
LAYS Чипсы нат.кар.риф.вк.Т.ям по-т.125г;Том Ям
LAYS Чипсы нат.карт.риф.вк.Паприка 225г;Паприка
LAYS Чипсы нат.карт.риф.вк.Прян.крев.90г;Креветки
POMST.Чипсы карт.сол.вкус.смет/спец.200г;Сметана и специи
POMST.Чипсы карт.сол.с мор.сол/перц.100г;Соль и перец черный
Чипсы POMST.карт.солом. с солью 100г;Соль
Чипсы POMST.карт.солом.смет/спец 100г;Сметана и специи
TWISTER Чипсы КАРТ.СОЛ.карт.вк.сыра 50г;Сыр
CHEETOS Палочки кук.вкус.Кетчуп 50г;Кетчуп
SALTO Чипсы N.БАР.кук.220г+соус100г+салф;Барбекю
SALTO Чипсы N.КЛ.кук.220г+соус100г+салф.;Оригинальные
MISSION Чипсы кукур.вкус.смет/лука 90г;Сметана и лук
MISSION Чипсы кукур.со вкус.краб кам.90г;Краб
MISSION Чипсы кукурузн.со вк.бекона 150г;Бекон
MISSION Чипсы кукурузные со вк.сыра 150г;Сыр
DELICAD.Чипсы NACH.с кус.ол/пап.кук.150г;Паприка и оливки
DELICAD.Чипсы кукур.вкус.соуса Ранч 150г;Соус Ранч
DELICAD.Чипсы НАЧОС кук.вк.Бург.Воп.140г;Бургер Воппер
DELICAD.Чипсы НАЧОС кукур.ориг.150г;Оригинальные
DELICAD.Чипсы НАЧОС кукур.с/вк.сыр 150г;Сыр
CARAMBAS Чипсы БЕКОН кукур.150г;Бекон
CARAMBAS Чипсы ОРИГИНАЛ кукур.150г;Оригинальные
CARAMBAS Чипсы СМЕТАНА ЛУК кукур.150г;Сметана и лук
CARAMBAS Чипсы СЫР НАЧ.кукур.150г;Сыр
XIAOWANGZI Чипсы кукурузн.со вк.том.40г;Томат
CHEETOS Кукур.палочки СЫР 85г;Сыр
XIAOWANGZI Чипсы ОРИГИНАЛЬН.кукуруз.40г;Оригинальные
CHEETOS Палочки кук.вкус.Сыр 50г;Сыр
CHEETOS Снеки кук.вкус.Ветчина и сыр 50г;Сыр и ветчина
CHEETOS Снеки кукур.со вкусом Краб 50г;Краб
HOLYCORN Снеки кукуруз.со вкус.Томат 50г;Томат
HOLYCORN Снеки кукуруз.со вкусом Сыр 50г;Сыр
CHEETOS Снеки кукуруз.со вкусом Краб 85г;Краб
СЫРBALL Шарики кукуруз.со вк.сыра 140г;Сыр
СЫРКОЛБ.Снеки кук.вкус.Гриль-колб.100г;Колбаски
СЫРКОЛБ.Снеки кук.вкус.Двойной сыр 100г;Сыр
СЫРКОЛБАС Снеки кук.вк.сыр/колбаса 100г;Сыр и колбаса
MEGA CH.Мегачипсы карт.вк.норв.лобс.100г;Лобстер
MEGA CHIPS Чипсы СО ВК.КУРИЦЫ 100г;Курица
MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/ЛУКА 100г;Сметана и лук
MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/СЫРА 100г;Сметана и сыр
MULTICHIPS Чипсы карт.вкус.см/лука 100г;Сметана и лук
BIG BON Чип.карт.вк.Реб.гр.соус.Бар.105г;Ребрышки гриль
BIG BON Чипсы карт.вк.См.зел.с.Чес.105г;Сметана и зелень
PRING.Чипсы ORIGINAL картофельные 165г;Оригинальные
PRING.Чипсы СМЕТАНА И ЛУК картоф.165г;Сметана и лук
PRINGL.Чипсы ORIGINAL картофельн.165г;Оригинальные
PRINGL.Чипсы карт.со вкус.смет/лука 165г;Сметана и лук
PRINGL.Чипсы ПАПРИКА карт.165г;Паприка
BIG BON Чипсы карт.вк.Смет/зел.лук 130г;Сметана и лук
BIG BON Чипсы карт.вкус.Снеж.краб 130г;Краб
LAYS Чипсы STAX карт.вк.Ар.реб.барб.140г;Ребрышки барбекю
LAYS Чипсы STAX карт.вк.Неж.см/лук 140г;Сметана и лук
LAYS Чипсы STAX карт.вкус.Пик.пап.140г;Паприка
XIAOWANGZI Чипсы карт.вк.Итал.рагу 43г;Рагу итальянское
XIAOWANGZI Чипсы карт.вкус.Барбекю 43г;Барбекю
XIAOWANGZI Чипсы карт.со вкус.Томата 43г;Томат
XIAOWANGZI Чипсы ОРИГИНАЛЬНЫЕ картоф.43г;Оригинальные
ДЕЛИКАТ Чипсы КРАБ карт.вкус.краба 100г;Краб
ДЕЛИКАТ Чипсы ЛУК.КОЛ.СМЕТ/ЗЕЛ.карт.100г;Сметана и зелень
TURBO DIES.Чипсы карт.вк.кур.крыл.гр.75г;Курица
LAYS Чипсы картофельные вкус.Хамон 81г;Хамон
DR.KORNER Чипсы кукурузно-рис.с сыр.50г;Сыр
DON SHELLD.Чипсы НУТСЫ вкус.Сыр Чедд.50г;Сыр
REEEL Чипсы БАТАТ-СЫР ЧЕДДЕР натур.30г;Сыр
РУС.КАРТ.Чипсы карт.со вкус.креветки 50г;Креветки
РУС.КАРТ.Чипсы карт.со вкусом кревет.80г;Креветки
"Чипсы ""Рус.карт."" курица 28/20г";Курица
ЛУК.КОЛ.ЗОЛ.Снеки хруст.вк.смет/лука100г;Сметана и лук
РУС.КАРТ.Чипсы карт.вк.зел.лука/см.190г;Сметана и лук
РУС.КАРТ.Чипсы карт.вк.Острый соус 200г;Соус острый
РУС.КАРТ.Чипсы карт.вк.сметаны/лука 80г;Сметана и лук
РУС.КАРТ.Чипсы карт.вкус.камч.краба 200г;Краб
РУС.КАРТ.Чипсы карт.вкус.кур.гриль 200г;Курица
РУС.КАРТ.Чипсы карт.вкус.лука/смет.200г;Сметана и лук
РУС.КАРТ.Чипсы карт.вкус.Остр.соус 190г;Соус острый
РУС.КАРТ.Чипсы карт.со вкус.смет/укр.80г;Сметана и укроп
РУС.КАРТ.Чипсы карт.со вкусом краба 190г;Краб
РУС.КАРТ.Чипсы картоф.вкус.жар.кур.190г;Курица
LAYS Чипс.карт.вк.лис.в см.85г;Сметана и Грибы Лисички
LAYS Чипсы карт.со вкус.неж.сыр зел.85г;Сыр и зелень
ЗЕЛ.ЛИН.Флайчипсы зер.кук-рис.с сол.40г;Соль
ЗЕЛ.ЛИН.Флайчипсы зерн.с том/олив.40г;Томат и оливки
RICE UP! Чипсы ц/зерн.вк.вас.бур.рис.60г;Васаби
RICE UP! Чипсы ц/зерн.вк.кет.бур.рис.60г;Кетчуп
DR.KORNER Чип.кук-рис.тайс.ос.сл.пер.50г;Перец тайский
DR.KORNER Чипсы кук/рис.олив.мас/роз.50г;Розмарин и оливковое масло
DR.KORNER Чипсы кук-рис.смет/зел.лук.50г;Зеленый лук
DR.KORNER Чипсы ц/з кук-рис.сыр.начо 50г;Сыр
DON SHELLD.Чипсы НУТСЫ вкус.Смет/зел.50г;Сметана и зелень
Чипсы ОРИГИНАЛЬНЫЕ с бататом 90г;Оригинальные
Чипсы с батат.вкус.говяд/чер.перца 90г;Говядина и перец черный
Чипсы с бататом со вкусом зел.лука 90г;Лук
Чипсы с бататом со вкусом томата 90г;Томат
BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г;Говядина
BINGGRAE Чипсы КРАБ ЧИПСЫ вк.краба 130г;Краб
BINGGRAE Чипсы КРАБ ЧИПСЫ хруст.50г;Краб
BINGGRAE Чипсы ВАСАБИ хрус.вк.вас.40г;Васаби
BINGGRAE Чипсы МОР.КАП.ЧИП.вк.мор.кап40г;Морская капуста
5D Чипсы пшен.вкус.стейк на углях 200г;Стейк
5D Чипсы пшен.со вкус.сметана и лук 200г;Сметана и лук
FR.RIDE Чипсы пш.вк.ростбифа с хрен.50г;Хрен и ростбиф
FR.RIDE Чипсы пш.со вк.бекона 50г;Бекон
